date,rate
5/1/1999,0.539
6/1/1999,0.5372
7/1/1999,0.5381
8/1/1999,0.5422
11/1/1999,0.541
12/1/1999,0.5469
13/01/1999,0.5442
14/01/1999,0.5389
15/01/1999,0.5387
18/01/1999,0.5387
19/01/1999,0.5372
20/01/1999,0.5369
21/01/1999,0.541
22/01/1999,0.5431
25/01/1999,0.5389
26/01/1999,0.5346
27/01/1999,0.5367
28/01/1999,0.5352
29/01/1999,0.5361
1/2/1999,0.5416
2/2/1999,0.5427
3/2/1999,0.5452
4/2/1999,0.5521
5/2/1999,0.551
8/2/1999,0.5502
9/2/1999,0.5569
10/2/1999,0.5526
11/2/1999,0.5517
12/2/1999,0.5514
15/02/1999,0.5493
16/02/1999,0.5455
17/02/1999,0.5369
18/02/1999,0.5393
19/02/1999,0.5396
22/02/1999,0.5435
23/02/1999,0.5408
24/02/1999,0.5397
25/02/1999,0.5327
26/02/1999,0.526
1/3/1999,0.5214
2/3/1999,0.5267
3/3/1999,0.528
4/3/1999,0.5271
5/3/1999,0.5307
8/3/1999,0.5308
9/3/1999,0.5324
10/3/1999,0.5337
11/3/1999,0.5365
12/3/1999,0.5352
15/03/1999,0.5341
16/03/1999,0.5305
17/03/1999,0.527
18/03/1999,0.5276
19/03/1999,0.5312
22/03/1999,0.5328
23/03/1999,0.5373
24/03/1999,0.5394
25/03/1999,0.5405
26/03/1999,0.5372
29/03/1999,0.5347
30/03/1999,0.5337
31/03/1999,0.5316
1/4/1999,0.5351
6/4/1999,0.5314
7/4/1999,0.5317
8/4/1999,0.5309
9/4/1999,0.5329
12/4/1999,0.5376
13/04/1999,0.5397
14/04/1999,0.5406
15/04/1999,0.5404
16/04/1999,0.5446
19/04/1999,0.5445
20/04/1999,0.5484
21/04/1999,0.5462
22/04/1999,0.5449
23/04/1999,0.5492
26/04/1999,0.5485
27/04/1999,0.5485
30/04/1999,0.557
3/5/1999,0.5592
4/5/1999,0.5603
5/5/1999,0.5571
6/5/1999,0.5592
7/5/1999,0.5637
10/5/1999,0.5593
11/5/1999,0.5582
12/5/1999,0.5625
13/05/1999,0.5592
14/05/1999,0.5625
17/05/1999,0.5577
18/05/1999,0.5593
19/05/1999,0.5549
20/05/1999,0.5509
21/05/1999,0.5503
24/05/1999,0.5451
25/05/1999,0.5457
26/05/1999,0.5382
27/05/1999,0.5352
28/05/1999,0.5347
31/05/1999,0.5363
1/6/1999,0.5334
2/6/1999,0.5289
3/6/1999,0.5271
4/6/1999,0.5263
8/6/1999,0.5314
9/6/1999,0.5288
10/6/1999,0.5328
11/6/1999,0.5374
14/06/1999,0.5403
15/06/1999,0.5382
16/06/1999,0.5329
17/06/1999,0.5349
18/06/1999,0.5349
21/06/1999,0.532
22/06/1999,0.5292
23/06/1999,0.5324
24/06/1999,0.5352
25/06/1999,0.5344
28/06/1999,0.5353
29/06/1999,0.5336
30/06/1999,0.5286
1/7/1999,0.5339
2/7/1999,0.5334
5/7/1999,0.5314
6/7/1999,0.5308
7/7/1999,0.5237
8/7/1999,0.5268
9/7/1999,0.5255
12/7/1999,0.5272
13/07/1999,0.5242
14/07/1999,0.5229
15/07/1999,0.5216
16/07/1999,0.5244
19/07/1999,0.5244
20/07/1999,0.5223
21/07/1999,0.5226
22/07/1999,0.5274
23/07/1999,0.5304
26/07/1999,0.5314
27/07/1999,0.527
28/07/1999,0.5242
29/07/1999,0.525
30/07/1999,0.5289
2/8/1999,0.5297
3/8/1999,0.5283
4/8/1999,0.5358
5/8/1999,0.5369
6/8/1999,0.5317
9/8/1999,0.5274
10/8/1999,0.5299
11/8/1999,0.529
12/8/1999,0.5308
13/08/1999,0.5286
16/08/1999,0.531
17/08/1999,0.5275
18/08/1999,0.53
19/08/1999,0.5347
20/08/1999,0.5299
23/08/1999,0.5332
24/08/1999,0.5267
25/08/1999,0.5242
26/08/1999,0.5162
27/08/1999,0.5096
30/08/1999,0.5109
31/08/1999,0.5156
1/9/1999,0.5173
2/9/1999,0.5123
3/9/1999,0.5174
6/9/1999,0.5176
7/9/1999,0.5223
8/9/1999,0.5277
9/9/1999,0.5266
10/9/1999,0.5339
13/09/1999,0.5309
14/09/1999,0.5356
15/09/1999,0.5282
16/09/1999,0.5254
17/09/1999,0.5254
20/09/1999,0.5238
21/09/1999,0.5208
22/09/1999,0.5244
23/09/1999,0.5254
24/09/1999,0.5171
27/09/1999,0.5178
28/09/1999,0.5145
29/09/1999,0.5139
30/09/1999,0.5166
1/10/1999,0.518
4/10/1999,0.518
5/10/1999,0.5227
6/10/1999,0.5227
7/10/1999,0.5209
8/10/1999,0.5185
11/10/1999,0.5142
12/10/1999,0.5168
13/10/1999,0.5173
14/10/1999,0.5084
15/10/1999,0.5109
18/10/1999,0.5106
19/10/1999,0.5089
20/10/1999,0.5118
21/10/1999,0.514
22/10/1999,0.5161
26/10/1999,0.5153
27/10/1999,0.5127
28/10/1999,0.5083
29/10/1999,0.5117
1/11/1999,0.5082
2/11/1999,0.5096
3/11/1999,0.5111
4/11/1999,0.5132
5/11/1999,0.5149
8/11/1999,0.5127
9/11/1999,0.5096
10/11/1999,0.51
11/11/1999,0.5122
12/11/1999,0.5131
15/11/1999,0.517
16/11/1999,0.5219
17/11/1999,0.5162
18/11/1999,0.5136
19/11/1999,0.5136
22/11/1999,0.5107
23/11/1999,0.5095
24/11/1999,0.5119
25/11/1999,0.5103
26/11/1999,0.5124
29/11/1999,0.5108
30/11/1999,0.5121
1/12/1999,0.5091
2/12/1999,0.5109
3/12/1999,0.5074
6/12/1999,0.504
7/12/1999,0.5066
8/12/1999,0.5089
9/12/1999,0.5074
10/12/1999,0.5062
13/12/1999,0.4944
14/12/1999,0.4948
15/12/1999,0.4933
16/12/1999,0.4956
17/12/1999,0.508
20/12/1999,0.5069
21/12/1999,0.5094
22/12/1999,0.5163
23/12/1999,0.5173
24/12/1999,0.5161
29/12/1999,0.5233
30/12/1999,0.521
31/12/1999,0.5233
5/1/2000,0.5195
6/1/2000,0.5207
7/1/2000,0.5143
10/1/2000,0.5164
11/1/2000,0.5157
12/1/2000,0.5173
13/01/2000,0.519
14/01/2000,0.5238
17/01/2000,0.5204
18/01/2000,0.5198
19/01/2000,0.5164
20/01/2000,0.5144
21/01/2000,0.5148
24/01/2000,0.5088
25/01/2000,0.5064
26/01/2000,0.508
27/01/2000,0.5079
28/01/2000,0.5051
31/01/2000,0.4942
1/2/2000,0.4964
2/2/2000,0.4931
3/2/2000,0.4949
4/2/2000,0.4948
7/2/2000,0.4956
8/2/2000,0.4943
9/2/2000,0.492
10/2/2000,0.494
11/2/2000,0.4914
14/02/2000,0.4932
15/02/2000,0.4863
16/02/2000,0.4872
17/02/2000,0.4929
18/02/2000,0.4942
21/02/2000,0.49
22/02/2000,0.4884
23/02/2000,0.4906
24/02/2000,0.4898
25/02/2000,0.4874
28/02/2000,0.4879
29/02/2000,0.4861
1/3/2000,0.4895
2/3/2000,0.4875
3/3/2000,0.4877
6/3/2000,0.4887
7/3/2000,0.4828
8/3/2000,0.4845
9/3/2000,0.4883
10/3/2000,0.4937
13/03/2000,0.4924
14/03/2000,0.4934
15/03/2000,0.4873
16/03/2000,0.4892
17/03/2000,0.4886
20/03/2000,0.4846
21/03/2000,0.4867
22/03/2000,0.4891
23/03/2000,0.4869
24/03/2000,0.4876
27/03/2000,0.4928
28/03/2000,0.5028
29/03/2000,0.5053
30/03/2000,0.4998
31/03/2000,0.5012
3/4/2000,0.4973
4/4/2000,0.5007
5/4/2000,0.5003
6/4/2000,0.5014
7/4/2000,0.5007
10/4/2000,0.4971
11/4/2000,0.4972
12/4/2000,0.499
13/04/2000,0.5001
14/04/2000,0.498
17/04/2000,0.5012
18/04/2000,0.4948
19/04/2000,0.4948
20/04/2000,0.4977
26/04/2000,0.4938
27/04/2000,0.4867
28/04/2000,0.4871
1/5/2000,0.4854
2/5/2000,0.4869
3/5/2000,0.485
4/5/2000,0.4905
5/5/2000,0.4892
8/5/2000,0.4909
9/5/2000,0.4815
10/5/2000,0.4809
11/5/2000,0.4769
12/5/2000,0.4767
15/05/2000,0.4796
16/05/2000,0.4726
17/05/2000,0.4713
18/05/2000,0.4627
19/05/2000,0.4529
22/05/2000,0.4551
23/05/2000,0.4597
24/05/2000,0.4548
25/05/2000,0.455
26/05/2000,0.4562
29/05/2000,0.459
30/05/2000,0.4579
31/05/2000,0.4589
1/6/2000,0.4574
2/6/2000,0.4564
6/6/2000,0.4675
7/6/2000,0.4726
8/6/2000,0.4734
9/6/2000,0.4684
12/6/2000,0.4678
13/06/2000,0.4701
14/06/2000,0.4724
15/06/2000,0.4709
16/06/2000,0.4683
19/06/2000,0.4778
20/06/2000,0.4743
21/06/2000,0.4749
22/06/2000,0.4754
23/06/2000,0.4709
26/06/2000,0.4713
27/06/2000,0.4703
28/06/2000,0.4718
29/06/2000,0.4696
30/06/2000,0.4678
3/7/2000,0.4691
4/7/2000,0.4667
5/7/2000,0.4647
6/7/2000,0.4608
7/7/2000,0.4607
10/7/2000,0.4616
11/7/2000,0.4619
12/7/2000,0.4602
13/07/2000,0.4607
14/07/2000,0.4604
17/07/2000,0.4602
18/07/2000,0.4594
19/07/2000,0.457
20/07/2000,0.4557
21/07/2000,0.4619
24/07/2000,0.4621
25/07/2000,0.4598
26/07/2000,0.4595
27/07/2000,0.4623
28/07/2000,0.4581
31/07/2000,0.457
1/8/2000,0.4551
2/8/2000,0.4529
3/8/2000,0.4546
4/8/2000,0.4565
7/8/2000,0.4557
8/8/2000,0.4554
9/8/2000,0.4539
10/8/2000,0.4516
11/8/2000,0.4527
14/08/2000,0.4495
15/08/2000,0.4504
16/08/2000,0.4473
17/08/2000,0.4522
18/08/2000,0.4522
21/08/2000,0.4507
22/08/2000,0.4495
23/08/2000,0.4395
24/08/2000,0.4261
25/08/2000,0.4348
28/08/2000,0.4354
29/08/2000,0.4341
30/08/2000,0.427
31/08/2000,0.4311
1/9/2000,0.4279
4/9/2000,0.4302
5/9/2000,0.4287
6/9/2000,0.4267
7/9/2000,0.4248
8/9/2000,0.4189
11/9/2000,0.4212
12/9/2000,0.4271
13/09/2000,0.4256
14/09/2000,0.4227
15/09/2000,0.42
18/09/2000,0.4151
19/09/2000,0.4093
20/09/2000,0.4142
21/09/2000,0.4067
22/09/2000,0.4091
25/09/2000,0.4143
26/09/2000,0.4145
27/09/2000,0.4144
28/09/2000,0.4169
29/09/2000,0.4071
2/10/2000,0.408
3/10/2000,0.4052
4/10/2000,0.4039
5/10/2000,0.4052
