Date,NZD/USD,NZD/GBP,NZD/AUD,NZD/JPY,NZD/EUR,NZD/CAD,NZD/KRW,NZD/CNY,NZD/MYR,NZD/HKD,NZD/IDR,NZD/THB,NZD/SGD,NZD/TWD,NZD/INR,NZD/PHP,NZD/VND
1999-01-05,0.539,0.3247,0.8668,60.25,0.4555,0.823,627.63,4.4615,2.0477,4.1747,4217.14,19.4286,0.9004,17.3463,22.921,20.4281,7487.25
1999-01-06,0.5372,0.3247,0.8641,59.91,0.4567,0.8123,621.77,4.4466,2.0408,4.1607,4276.67,19.5398,0.9016,17.2828,22.8289,20.5191,7461.55
1999-01-07,0.5381,0.325,0.8551,60.72,0.4624,0.8133,618.52,4.4541,2.0474,4.1677,4277.03,19.5726,0.899,17.2784,22.8537,20.5266,7471.36
1999-01-08,0.5422,0.3287,0.8528,60.23,0.4629,0.8205,635.43,4.488,2.0598,4.1995,4323.37,20.3663,0.9089,17.4325,23.0414,20.6017,7503.9
1999-01-09,0.541,0.3299,0.8528,59.91,0.4676,0.8179,634.25,4.4781,2.0584,4.1902,4313.8,19.6781,0.9041,17.3883,22.9904,20.2856,7513.53
1999-01-10,0.5469,0.3354,0.8557,59.52,0.4759,0.8236,641.69,4.5269,2.0809,4.2359,4402.98,19.9362,0.9178,17.5779,23.2275,20.6983,7593.83
1999-01-11,0.5442,0.3329,0.8554,61.25,0.4704,0.8249,638.52,4.5046,2.0745,4.2149,4707.18,20.0793,0.9182,17.5193,23.1155,21.3851,7556.07
1999-01-12,0.5389,0.3268,0.8542,61.12,0.4611,0.8202,639.05,4.4607,2.0473,4.1739,4673.46,19.8838,0.9055,17.3823,22.8957,20.7457,7483.01
1999-01-13,0.5387,0.3253,0.8553,61.2,0.4612,0.8264,637.53,4.459,2.0465,4.1723,4758.39,19.9574,0.9041,17.3478,22.8657,20.6842,7479.16
1999-01-14,0.5387,0.3265,0.8478,61.58,0.4656,0.8216,636.18,4.459,2.0465,4.1723,4564.83,19.7019,0.9065,17.3758,22.8926,20.6034,7478.35
1999-01-15,0.5372,0.3251,0.8478,61.37,0.4631,0.8197,631.35,4.4466,2.0408,4.1607,4487.47,19.7918,0.9032,17.3442,22.8154,20.5997,7457.52
1999-01-16,0.5369,0.3238,0.8411,60.92,0.4626,0.8214,626.21,4.4441,2.0397,4.1584,4538.04,19.6074,0.9009,17.3177,22.8161,20.5345,7453.36
1999-01-17,0.541,0.3286,0.8449,61.05,0.4679,0.8228,634.17,4.4781,2.0553,4.1902,4679.5,19.7139,0.9058,17.45,22.985,20.6372,7510.01
1999-01-18,0.5431,0.3287,0.8462,61.79,0.4681,0.8227,640.69,4.4954,2.0633,4.2064,4844.34,20.0387,0.9131,17.5404,23.0796,20.9617,7540.25
1999-01-19,0.5346,0.3224,0.8465,60.91,0.4627,0.8125,628.44,4.4251,2.031,4.1438,4859.55,19.6309,0.9005,17.2658,22.7023,20.5534,7420.89
1999-01-20,0.5367,0.3234,0.8526,61.12,0.4641,0.8153,630.46,4.4425,2.0389,4.1569,4909.88,19.8026,0.9067,17.3281,22.7915,20.7415,7447.63
1999-01-21,0.5352,0.3247,0.8532,61.86,0.4676,0.8124,629.14,4.43,2.0332,4.1484,4918.66,19.7764,0.9043,17.2908,22.7439,20.7103,7428.68
1999-01-22,0.5361,0.3251,0.8549,62.41,0.4697,0.8132,629.83,4.4375,2.0367,4.1554,4846.75,19.7731,0.9067,17.3143,22.7768,20.6379,7440.37
1999-01-23,0.5416,0.3287,0.8574,62.73,0.4755,0.8192,636.07,4.483,2.0552,4.1981,4835.27,19.9099,0.9152,17.4806,23.0159,20.8768,7516.71
1999-01-24,0.5427,0.3305,0.8533,62.35,0.4799,0.818,635.05,4.4921,2.0617,4.2066,4789.5,19.8846,0.9143,17.5105,23.0572,20.9192,7532.8
1999-01-25,0.5452,0.3328,0.8555,61.1,0.4803,0.8257,637.98,4.5128,2.0712,4.2227,4608.2,20.0644,0.9204,17.5798,23.1416,20.961,7564.5
1999-01-26,0.5521,0.3374,0.8602,62.44,0.488,0.8336,646.13,4.57,2.0975,4.2761,4792.1,20.296,0.9316,17.8081,23.4456,21.2539,7659.42
1999-01-27,0.551,0.335,0.8506,61.7,0.4859,0.8219,644.69,4.5608,2.0933,4.2709,4795.04,20.2481,0.9305,17.7611,23.3878,21.2667,7646.08
1999-01-28,0.5502,0.337,0.8461,62.25,0.4881,0.8191,646.7,4.5542,2.0902,4.2647,4855.69,20.3157,0.9312,17.7525,23.3539,21.6759,7637.46
1999-01-29,0.5569,0.3399,0.8574,63.78,0.492,0.831,654.73,4.6097,2.1157,4.3167,4859.08,20.6623,0.9416,17.9803,23.6383,21.9956,7730.47
1999-01-30,0.5526,0.3375,0.8567,62.99,0.4883,0.8263,650.67,4.5741,2.0994,4.28,4771.59,20.48,0.9346,17.8357,23.4419,21.5495,7669.12
1999-01-31,0.5517,0.3396,0.8535,63.09,0.4872,0.822,648.39,4.5666,2.0959,4.2764,4809.5,20.3711,0.9309,17.8124,23.4231,21.2109,7658.01
1999-02-01,0.5514,0.3398,0.8517,63.21,0.4915,0.8223,648.19,4.5642,2.0948,4.274,4781.87,20.4279,0.9312,17.797,23.4324,21.227,7653.57
1999-02-02,0.5493,0.3362,0.8477,62.66,0.4862,0.8197,645.72,4.5468,2.0868,4.2578,4763.66,20.3501,0.9276,17.7292,23.3157,21.2285,7624.69
1999-02-03,0.5455,0.3354,0.8451,63.07,0.4859,0.8144,641.31,4.5157,2.0726,4.2254,4718.86,20.1292,0.9263,17.6081,23.1619,21.0018,7572.63
1999-02-04,0.5369,0.3287,0.8463,63.73,0.4792,0.803,631.14,4.4441,2.0397,4.1584,4664.21,19.8613,0.9118,17.3289,22.7893,20.7493,7452.55
1999-02-05,0.5393,0.3299,0.8487,64.1,0.4795,0.8059,637.34,4.464,2.0488,4.177,4730.26,19.9722,0.9157,17.4064,22.8966,20.869,7485.87
1999-02-06,0.5396,0.33,0.8479,64.58,0.4817,0.802,649.51,4.4665,2.05,4.1793,4774.78,20.223,0.9192,17.5406,22.8877,21.0155,7490.03
1999-02-07,0.5435,0.3347,0.8481,65.67,0.491,0.8087,660.95,4.4992,2.065,4.2099,4852.68,20.4631,0.9324,17.9907,23.0308,21.3188,7544.87
1999-02-08,0.5408,0.3325,0.8434,65.48,0.4905,0.8084,655.14,4.4764,2.0545,4.1886,4785.4,20.3213,0.9306,17.8701,22.9278,21.0893,7506.15
1999-02-09,0.5397,0.3343,0.8422,65.2,0.4901,0.8067,656.99,4.4673,2.0503,4.1801,4763.02,20.2419,0.9322,17.887,22.9621,21.1003,7488.45
1999-02-10,0.5327,0.3334,0.8418,64.68,0.484,0.7984,651.96,4.4094,2.0237,4.1259,4680.58,19.9719,0.9182,17.6257,22.6643,20.8,7394.51
1999-02-11,0.526,0.3282,0.8419,63.06,0.4767,0.7951,643.52,4.3539,1.9983,4.074,4629.84,19.6323,0.9057,17.3983,22.4475,20.4858,7306.5
1999-02-12,0.5214,0.3262,0.8419,62.21,0.4746,0.7868,635.79,4.3158,1.9808,4.0383,4609.64,19.4752,0.9007,17.2063,22.1574,20.3066,7245.72
1999-02-13,0.5267,0.3274,0.8498,63.06,0.4832,0.8011,644.77,4.3597,2.0009,4.0794,4673.03,19.7691,0.9126,17.4214,22.3905,20.5657,7320.96
1999-02-14,0.528,0.3267,0.8498,63.42,0.4826,0.8032,648.99,4.3704,2.0059,4.0926,4692.89,19.8926,0.9175,17.476,22.4458,20.6428,7338.77
1999-02-15,0.5271,0.3267,0.8482,64.2,0.4847,0.8032,653.26,4.363,2.0025,4.0857,4693.23,19.9112,0.9144,17.4867,22.3996,20.7394,7326
1999-02-16,0.5307,0.3298,0.8453,65.51,0.4912,0.8082,658.95,4.3928,2.0161,4.1104,4716.89,19.8597,0.9171,17.653,22.5606,20.7749,7372.85
1999-02-17,0.5308,0.3314,0.8448,65.12,0.4905,0.8059,657.6,4.3936,2.0165,4.1112,4743.07,19.8857,0.9168,17.592,22.5569,20.6462,7378.75
1999-02-18,0.5324,0.3308,0.8431,64.87,0.4891,0.8077,657.63,4.4069,2.0226,4.1235,4778.73,19.8047,0.9207,17.6392,22.6089,20.7617,7399.4
1999-02-19,0.5337,0.3298,0.8407,64.65,0.4907,0.8104,657.93,4.4176,2.0275,4.1336,4842.56,19.957,0.9233,17.6764,22.6241,20.7857,7414.53
1999-02-20,0.5365,0.3299,0.8416,64.24,0.4903,0.8166,660.08,4.4408,2.0382,4.1553,5051.32,20.1144,0.931,17.7632,22.7616,20.8947,7456.92
1999-02-21,0.5352,0.3271,0.8404,63.78,0.4849,0.8158,660.03,4.43,2.0332,4.1484,4896.16,19.9832,0.9276,17.7202,22.7171,20.8709,7438.85
1999-02-22,0.5341,0.3276,0.8406,63.59,0.4901,0.8138,657.62,4.4209,2.0291,4.1399,4672.35,19.9198,0.911,17.6779,22.6624,20.7478,7422.49
1999-02-23,0.5305,0.3272,0.843,62.51,0.4855,0.8104,650.78,4.3911,2.0154,4.112,4694.25,19.7193,0.9132,17.5529,22.5043,20.6239,7372.99
1999-02-24,0.527,0.3235,0.8426,61.99,0.4792,0.8052,646.8,4.3622,2.0021,4.0849,4709.12,19.655,0.9078,17.4487,22.3585,20.4984,7324.87
1999-02-25,0.5276,0.3236,0.8402,62.4,0.48,0.8025,646.51,4.3671,2.0044,4.0895,4761.28,19.751,0.9104,17.4628,22.3813,20.5217,7333.21
1999-02-26,0.5312,0.3261,0.8444,62.4,0.4839,0.8064,648.38,4.3969,2.018,4.1174,4729.74,19.9007,0.9158,17.5761,22.5208,20.6139,7384.31
1999-02-27,0.5328,0.3271,0.845,62.31,0.4885,0.8074,651.36,4.4102,2.0241,4.1298,4735.56,20.0207,0.9224,17.6349,22.5593,20.5908,7407.09
1999-02-28,0.5373,0.3299,0.8431,63.63,0.4922,0.8082,658.31,4.4474,2.0412,4.1647,4784.06,20.1519,0.9305,17.7956,22.7794,20.8184,7468.85
1999-03-01,0.5394,0.3294,0.8433,63.78,0.4947,0.812,659.76,4.4648,2.0492,4.1778,4773.01,20.2535,0.9307,17.8593,22.8819,20.8728,7498.04
1999-03-02,0.5405,0.3306,0.8478,63.85,0.497,0.8156,660.94,4.4739,2.0534,4.1895,4782.74,20.3483,0.9336,17.8957,22.9151,20.9154,7513.34
1999-03-03,0.5372,0.3308,0.8425,63.47,0.4958,0.8096,656.74,4.4466,2.0408,4.164,4774.67,20.2012,0.9311,17.7923,22.7752,20.8146,7467.73
1999-03-04,0.5347,0.3296,0.843,64.37,0.4973,0.8086,655.21,4.4269,2.0317,4.1433,4731.42,20.1057,0.9266,17.7236,22.6692,20.7444,7427.89
1999-03-05,0.5337,0.3303,0.844,64.2,0.4974,0.8071,653.98,4.4185,2.0279,4.1352,4640.43,20.1028,0.9249,17.6881,22.6401,20.7056,7418.54
1999-03-06,0.5316,0.3296,0.8473,64.03,0.4958,0.8027,652.21,4.4012,2.0199,4.1192,4622.17,19.9913,0.918,17.6173,22.5404,20.5976,7389.61
1999-03-07,0.5351,0.3318,0.8436,63.52,0.4968,0.8064,654.9,4.43,2.0333,4.1466,4573.08,20.1207,0.9241,17.7222,22.6995,20.7466,7438
1999-03-08,0.5314,0.3319,0.8417,64.66,0.4955,0.7976,650.92,4.3986,2.0188,4.1158,4660.96,20.1193,0.9218,17.606,22.6621,20.4835,7386.56
1999-03-09,0.5317,0.3341,0.845,64.14,0.4904,0.7985,650.1,4.4011,2.0199,4.1181,4659.51,20.0774,0.9216,17.616,22.6749,20.4685,7391.8
1999-03-10,0.5309,0.3327,0.8487,64.5,0.4926,0.7954,649.36,4.3945,2.0169,4.1119,4656.58,20.0472,0.9202,17.5778,22.6408,20.4537,7380.67
1999-03-11,0.5329,0.3319,0.8509,64.63,0.4962,0.7987,651.72,4.411,2.0245,4.1274,4649.65,20.2528,0.924,17.6324,22.7554,20.528,7409.55
1999-03-12,0.5376,0.3342,0.849,64.88,0.4966,0.8064,655.79,4.4499,2.0424,4.1638,4686.57,20.3849,0.9268,17.7938,22.9373,20.6688,7469.26
1999-03-13,0.5397,0.3347,0.8507,64.99,0.4993,0.8053,659.32,4.4673,2.0503,4.1833,4708.99,20.4104,0.926,17.8102,23.0835,20.6956,7503.02
1999-03-14,0.5406,0.3344,0.8496,64.74,0.5018,0.8061,656.88,4.4748,2.0538,4.1903,4692.27,20.352,0.9149,17.8105,23.1085,20.622,7512.02
1999-03-15,0.5404,0.3353,0.8507,64.23,0.5,0.8073,658.16,4.4731,2.053,4.1888,4686.47,20.3063,0.9154,17.7747,23.127,20.6117,7512.76
1999-03-16,0.5446,0.3386,0.8472,64.84,0.5091,0.811,662.63,4.5079,2.069,4.218,4722.9,20.3722,0.9285,17.8893,23.2523,20.7746,7572.24
1999-03-17,0.5445,0.3376,0.8422,64.12,0.5096,0.8049,655.65,4.507,2.0686,4.2173,4689.49,20.3153,0.9269,17.8333,23.3297,20.6619,7564.59
1999-03-18,0.5484,0.3403,0.8436,64.48,0.5147,0.8149,652.64,4.5393,2.0842,4.2475,4751.73,20.5067,0.9378,17.9493,23.4557,20.8647,7618.77
1999-03-19,0.5462,0.3394,0.8437,64.88,0.5141,0.8134,648.94,4.5211,2.0758,4.2304,4732.67,20.5088,0.9336,17.9007,23.3752,20.8083,7591.76
1999-03-20,0.5449,0.3392,0.8435,65.24,0.5144,0.8101,651.11,4.5103,2.0701,4.2236,4713.24,20.4985,0.9303,17.8698,23.3196,20.786,7573.96
1999-03-21,0.5492,0.3399,0.8427,65.73,0.5158,0.8134,654.45,4.5459,2.0864,4.257,4717.78,20.6525,0.9387,17.9696,23.5036,20.8677,7633.46
1999-03-22,0.5485,0.3397,0.8411,65.36,0.5172,0.8092,650.59,4.5401,2.0838,4.2516,4732.1,20.6728,0.9326,17.9291,23.4737,20.8137,7623.46
1999-03-23,0.5485,0.34,0.8457,65.43,0.5168,0.8101,648.9,4.5401,2.0846,4.2516,4703.69,20.6495,0.9329,17.9232,23.4791,20.8685,7627.29
1999-03-24,0.557,0.3461,0.8443,66.41,0.5245,0.8157,661.62,4.6105,2.1161,4.3174,4498.79,20.7353,0.9443,18.2069,23.843,21.178,7746.34
1999-03-25,0.5592,0.3476,0.8471,66.83,0.5279,0.8145,665.42,4.6287,2.1252,4.3345,4444.75,20.671,0.9519,18.2788,23.9037,21.0939,7776.94
1999-03-26,0.5603,0.3482,0.8453,67.38,0.53,0.8113,670.48,4.6378,2.1286,4.343,4471.27,20.6506,0.9544,18.3328,23.9535,21.1214,7791.68
